Naam,ID,Clustering,Rank (Betweenness centr.),Rank (Eigenvector centr.),Fonds en functies
"Jonis, Schenly Antolin",P130618,1.0,NA,NA,Personeelspensioenfonds APG (2392) - Bestuurder
"Knaap, Hans Daniel van der",P120662,1.0,206,287,Rijn- en Binnenvaart (20117) - Bestuurder
"Haaster, Theodorus Johannes Maria van",P116713,0.486,110,82,"Waterbouw (14400) - Bestuurder<br />Schilders-, Afwerkings- en Glaszetbedrijf (10549) - Bestuursvoorzitter"
"Haaksman, Bernd Jan",P114160,1.0,206,576,TNT express (R128839) - Bestuurder
"Verspuij, Hendrik W.G. (Erik)",P130762,1.0,206,410,Co-op (7842) - Bestuurder
"Meeuws, Nicky Cornelis Antonius Lambertus",P132272,1.0,NA,NA,Bavaria (60786) - Bestuurder
"Verheul, Marion Martha",P130837,1.0,206,901,Flexsecurity (60798) - Bestuurder
"Wegh, Gerardus Wilhelmus",P118272,0.543,190,204,Levensmiddelen Groothandel (34561) - Bestuurder<br />Co-op (7842) - Bestuurder
"Weert, Franciscus Johannes de",P103808,1.0,206,535,Nederlandsche Bank (7837) - Bestuurder
"Roeten, Harm",P121190,0.235,32,128,Tandtechniek (42469) - Bestuurder<br />Schoonmaak- en Glazenwassers (42937) - Bestuurder<br />Houtverwerkende industrie (15629) - Bestuurder<br />Kunststof- en Rubber (33708) - Bestuurder
"Gevaerts, Gustave",P121112,1.0,206,694,TDF Botlek (60677) - Bestuurder
"Limberger, Hinderikus Harmannus B",P102089,1.0,206,551,Zorgverzekeraars (23361) - Bestuurder
"Peters-Gerritsen, Maria Henrica Wilhelmina",P107181,1.0,206,690,TDF Botlek (60677) - Bestuurder
"Nicolaï, Atzo",P102943,1.0,NA,NA,DSM (49417) - Bestuursvoorzitter
"Kelderman, Harmen",P126118,1.0,206,354,Werk en (re)Integratie (PWRI) (60655) - Bestuurder
"Huizenga, Jurrien Gerrit",P116799,1.0,206,379,Medewerkers Apotheken (15565) - Bestuurder
"Meurs, Eric Fraciscus Maria",P127116,1.0,206,751,Getronics (60376) - Bestuurder
"Dijkstra, Hendrik Jelmer",P122738,1.0,206,1112,Fresenius  (60212) - Bestuurder
"Berg, Catharina Theodora Maria van den",P103004,1.0,NA,NA,RBS Nederland (60953) - Bestuurder
"Maas, Cornelis Johannes Andreas",P109019,1.0,206,964,Caribisch Nederland (60952) - Bestuurder
"Bosselaar, Lourens",P100231,1.0,206,233,Notariaat (13358) - Bestuurder
"Dierendonck, Jean-Paul Antonius Cyrilles van",P128468,1.0,NA,NA,Cargill (60294) - Bestuurder
"Janssen, Gerardus Johannes Hendrikus",P112203,1.0,206,853,Hewitt Nederland (39775) - Bestuurder
"Visser-Moos, Monique",P103216,1.0,NA,NA,Telegraaf (11492) - Bestuurder
"Foursoff, Alexander Iwan",P118110,1.0,NA,NA,Calpam (47162) - Bestuurder
"Lievense, Wim Paul",P103489,1.0,206,1032,TOTAL (32489) - Bestuurder
"Aben, Gerardus Theodorus Cornelis Antonius",P121662,1.0,206,647,Horeca (32868) - Bestuursvoorzitter
"Kruijs, Theodorus Hendrikus Maria",P111895,1.0,NA,NA,General Electric  (60944) - Bestuurder
"Smits- Enters, Petra Hendrika Abigael",P130947,1.0,206,1031,TOTAL (32489) - Bestuurder
"Kompagnie, Harm (Harry)",P131296,1.0,206,887,Accountancy (37678) - Bestuurder
"Jong, Wendy Elizabeth Maria de",P131091,1.0,NA,NA,DSM (49417) - Lid Raad van Toezicht
"Schuyt, Jacobus Gerardus Clemens Maria",P104950,1.0,206,139,Woningcorporaties (20118) - Bestuursvoorzitter
