ID,Relatienummer pensioenfonds,Naam pensioenfonds,Naam persoon,Relatienummer persoon,Rol
118,608,Mn Services,"Luijk, Marc van",P123679,Accountant
153,1491,Protector,"Rijst, Hendrikus van der",P121196,Accountant
202,2392,Personeelspensioenfonds APG,"Besters, Jacob Coen",P122124,Accountant
346,5543,Provisum,"Besters, Jacob Coen",P122124,Accountant
712,13358,Notariaat,"Rijst, Hendrikus van der",P121196,Accountant
779,15133,Betonproducten,"Rijst, Hendrikus van der",P121196,Accountant
853,17571,Vlakglas Verf,"Rijst, Hendrikus van der",P121196,Accountant
972,32489,TOTAL,"Luijk, Marc van",P123679,Accountant
1038,34780,Mars,"Rijst, Hendrikus van der",P121196,Accountant
1343,50052,Elsevier,"Luijk, Marc van",P123679,Accountant
1415,60084,Witteveen & Bos,"Luijk, Marc van",P123679,Accountant
1846,60777,SCA Hygiene,"Luijk, Marc van",P123679,Accountant
1861,60788,Technische Groothandel Vroegpensioen,"Rijst, Hendrikus van der",P121196,Accountant
10,2,Tandartsen  ,"Sprenkels, Rudolfus Hubertus",P121961,Actuaris
28,4,Apothekers,"Sprenkels, Rudolfus Hubertus",P121961,Actuaris
222,2607,ARCADIS Nederland,"Sprenkels, Rudolfus Hubertus",P121961,Actuaris
452,7777,Cosun,"Wit, Marcel Gérard Andreas Bernhard de",P115964,Actuaris
674,11756,Schoen en Leder,"Heemskerk, Marcus Wilhelmus",P106487,Actuaris
759,14400,Waterbouw,"Heemskerk, Marcus Wilhelmus",P106487,Actuaris
962,32436,Zoetwarenindustrie,"Kruijff, Rudi",P122096,Actuaris
1033,34780,Mars,"Kruijff, Rudi",P122096,Actuaris
1042,36105,Gasunie,"Kruijff, Rudi",P122096,Actuaris
1057,36722,Agrarische,"Gelder, Martin de",P105294,Actuaris
1105,39775,Hewitt Nederland,"Hammer, Carel Frederik",P116817,Actuaris
1273,47985,TDV,"Sprenkels, Rudolfus Hubertus",P121961,Actuaris
1383,60011,AZL,"Sprenkels, Rudolfus Hubertus",P121961,Actuaris
1389,60019,Ten Cate,"Heijer, Dirk den",P103981,Actuaris
1652,60540,Wolters Kluwer ,"Sprenkels, Rudolfus Hubertus",P121961,Actuaris
1670,60561,Atos Origin,"Sprenkels, Rudolfus Hubertus",P121961,Actuaris
1752,60677,TDF Botlek,Verschuren,P117042,Actuaris
1881,60792,STIPP,Verschuren,P117042,Actuaris
1995,60883,AVIKO,"Wit, Marcel Gérard Andreas Bernhard de",P115964,Actuaris
2135,60943,Croda,Verschuren,P117042,Actuaris
2,1,Huisartsen ,"Berg, Pieter Joseph Marie van den",P117496,Bestuurder
3,1,Huisartsen ,"Binnekamp, Johannes",P115685,Bestuurder
4,1,Huisartsen ,"Enneking, Thomas Robert Maria Quirinus",P131564,Bestuurder
6,1,Huisartsen ,"Schreuder, Hendrik Jozef",P104773,Bestuurder
7,1,Huisartsen ,"Slager, Alfredus Mattheus Harmen",P111800,Bestuurder
8,2,Tandartsen  ,"Albrecht, Ferdinand Frederik",P108169,Bestuurder
12,2,Tandartsen  ,"Zeverijn, Willem Sako",P104875,Bestuurder
13,3,Medische Specialisten,"Biemond, Pieter",P108785,Bestuurder
15,3,Medische Specialisten,"Bosman, Cornelis Hendrik Rudolf (Coks)",P131168,Bestuurder
20,3,Medische Specialisten,"Stuijfzand, Eelco Paul",P100292,Bestuurder
21,3,Medische Specialisten,"Tulder, Cornelus Antonius Maria",P106460,Bestuurder
22,4,Apothekers,"Bakker, Alphons Johan Marie",P117720,Bestuurder
23,4,Apothekers,"Brienen, Jan Willem",P111047,Bestuurder
25,4,Apothekers,"Lustgraaf-Wielens, Maria Josephina Geertruida van de",P112062,Bestuurder
26,4,Apothekers,"Menheere, Marjolein Marieke Joyce Jacqueline",P111444,Bestuurder
29,7,Fysiotherapeuten,"Haasen, Alain Bruce van",P130233,Bestuurder
30,7,Fysiotherapeuten,"Heuvel, Theodora, Paulina, Johanna, Adriana van den",P113692,Bestuurder
31,7,Fysiotherapeuten,"Hofmans-Weijman, Maria Petronella Geertruida",P114187,Bestuurder
32,7,Fysiotherapeuten,"Pommeren, René van",P112250,Bestuurder
33,7,Fysiotherapeuten,"Sillen, Wilhelmus Joseph Theodoor",P127250,Bestuurder
34,7,Fysiotherapeuten,"Sluis, Joachim Hugo",P130234,Bestuurder
